time,seconds_elapsed,z,y,x
1728303244752605400,0.15660546875,-9.804090963166951,0.008368146661849459,0.2238604673068039
1728303244762665500,0.16666552734375,-9.804109667867422,0.009403632326828665,0.22301079167490823
1728303244772725500,0.1767255859375,-9.804146492746472,0.009654430462588789,0.22136355419084427
1728303244782785500,0.18678564453125,-9.80416928910017,0.010534078824351308,0.22030410826578736
1728303244792845600,0.196845458984375,-9.80418857832253,0.011665928973560221,0.21939535939041524
1728303244802905600,0.206905517578125,-9.804196177107094,0.01212978933386621,0.21904126698942852
1728303244812965600,0.216965576171875,-9.804191500931978,0.012990732995158759,0.21919581823032347
1728303244823025400,0.227025390625,-9.804177472406625,0.013995182488590944,0.21976178155001252
1728303244833085400,0.23708544921875,-9.804182148581743,0.013849525798560353,0.21956291624335572
1728303244843145700,0.247145751953125,-9.804161105793714,0.015039452535758027,0.2204251773621887
1728303244853205500,0.25720556640625,-9.804145908224582,0.015662511770968557,0.22104151916224507
1728303244863265500,0.267265625,-9.804134217786789,0.016123012272053164,0.22152583208046853
1728303244873325600,0.27732568359375,-9.80413304874301,0.016578793215536278,0.22156070246445014
1728303244883385600,0.287385498046875,-9.804126619002222,0.016975818292662734,0.22180590939717365
1728303244893445400,0.2974453125,-9.804140063005685,0.017339728834765263,0.221177000376489
1728303244903505700,0.307505615234375,-9.804098561951518,0.01759670155380736,0.22299816965535282
1728303244913565700,0.317565673828125,-9.804095054820179,0.0171093804028118,0.2231815999308601
1728303244923625500,0.32762548828125,-9.804106160736083,0.01696814530121628,0.22269662942551074
1728303244933685500,0.337685546875,-9.804084533426165,0.0171007712630264,0.22363555424343792
1728303244943745500,0.34774560546875,-9.804068166813254,0.017751113514095775,0.2243240479642525
1728303244953805600,0.3578056640625,-9.804043032371997,0.021849135975539682,0.22504914736840873
1728303244963865600,0.367865478515625,-9.804037187153101,0.033237330286530774,0.22390726559059693
1728303244973925600,0.377925537109375,-9.80400094679594,0.05485969916833564,0.22122262961650266
1728303244983985700,0.387985595703125,-9.80418682475686,0.07723611955414526,0.20575570549136027
1728303244994045400,0.39804541015625,-9.80491513903141,0.06631199452436995,0.17211891842531038
1728303245004104700,0.408104736328125,-9.805091664642095,0.06235925657690968,0.16330719613935799
1728303245014164500,0.41816455078125,-9.805095171773432,0.062084965113596985,0.16320402802582828
1728303245024224500,0.428224609375,-9.805077051594854,0.06186555477583315,0.1643825154869817
1728303245034284500,0.438284423828125,-9.805086403945088,0.0613991382739041,0.16398789014620704
1728303245044344600,0.448344482421875,-9.80508231229186,0.06198947798302397,0.1640047864820808
1728303245054404600,0.458404541015625,-9.805071206375956,0.06258490942579228,0.1644722030644305
1728303245064464600,0.468464599609375,-9.805092249163984,0.06298523385499138,0.16305457308515905
1728303245074524700,0.478524658203125,-9.805117968127131,0.06402697059342172,0.16106511630099266
1728303245084584400,0.48858447265625,-9.80513608830571,0.06452695600481238,0.15976943220095707
1728303245094644500,0.49864453125,-9.80515771561563,0.06477065140046179,0.15834550034506245
1728303245104704500,0.50870458984375,-9.805198632147908,0.06562300761321094,0.15542948503419757
1728303245114764500,0.5187646484375,-9.805240133202075,0.06685749957791995,0.1522413199847564
1728303245124824600,0.528824462890625,-9.805298585391045,0.06738778879602905,0.14819363376284017
1728303245134884600,0.538884521484375,-9.805338332879543,0.06831947102241684,0.14510470957048235
1728303245144944400,0.5489443359375,-9.805366389930247,0.06941840414106845,0.1426843688220717
1728303245155004400,0.55900439453125,-9.805428933772443,0.07005101208933628,0.13798199981739745
1728303245165064400,0.569064453125,-9.805476280045509,0.0707864776238799,0.1341948276951909
1728303245175124700,0.579124755859375,-9.805499076399206,0.0716529536935268,0.13205957836532034
1728303245185184500,0.5891845703125,-9.805523041796684,0.07198635493293404,0.13005663191191852
1728303245195244500,0.59924462890625,-9.80554876075983,0.07248227609056047,0.1278221417249646
1728303245205304600,0.6093046875,-9.80556804998219,0.07279083514965605,0.12616471164044923
1728303245215364400,0.6193642578125,-9.805589677292108,0.0728665261677932,0.1244632780174259
1728303245225424600,0.629424560546875,-9.805584416595101,0.07332607910409569,0.12458109571081585
1728303245235484700,0.639484619140625,-9.805574479722976,0.07342621044374537,0.12532802335429005
1728303245245544400,0.64954443359375,-9.805594353467226,0.07331775423374493,0.123829263563361
1728303245255604500,0.6596044921875,-9.805599029642343,0.07403805416519753,0.12298583500916138
1728303245265664500,0.66966455078125,-9.805590261813999,0.07415422789077274,0.1236217308930587
1728303245275724500,0.679724609375,-9.805597276076673,0.07396157769577112,0.12319521257667801
1728303245285784600,0.68978466796875,-9.805608966514468,0.0740159975970164,0.12224216790185309
1728303245295844600,0.6998447265625,-9.805613642689584,0.07415912326159886,0.12178308075643143
1728303245305904600,0.709904541015625,-9.805619487908482,0.07418118896293453,0.12127673866949043
1728303245315964400,0.71996435546875,-9.805616565299033,0.07431820911371614,0.12145013160817325
1728303245326024400,0.7300244140625,-9.805601367729901,0.07456457595706452,0.12249783229650929
1728303245336084500,0.74008447265625,-9.805612473645805,0.07439886400133837,0.12170439863018691
1728303245346144500,0.75014453125,-9.805615980777144,0.07474481876164209,0.12121213073437101
1728303245356204500,0.76020458984375,-9.805598445120454,0.07544890277723315,0.122194483702071
1728303245366264600,0.7702646484375,-9.805592599901557,0.07557520517117809,0.1225603944050148
1728303245376324600,0.78032470703125,-9.805575648766755,0.07627193699737544,0.12351040687253698
1728303245386384400,0.79038427734375,-9.805556359544395,0.07695744874323718,0.12459446664904243
1728303245396444700,0.800444580078125,-9.805556944066286,0.07758433020361699,0.12417039601807482
