time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1728471358366776000,-6.384223876953125,192.70004653930664,-1,-1,46.84144436060563,148.11004638671875,-1,35,2.5408105850219727,16.862389708786246,-1
1728471364778626000,0.0276259765625,192.70004653930664,-1,-1,46.84144436060563,148.11004638671875,-1,35,2.5408105850219727,16.862389708786246,-1
1728471365212267800,0.461267822265625,192.70000076293945,-1,-1,46.84147786139011,148.11000061035156,-1,35,2.501984119415283,16.86261719736642,-1
1728471368300935200,3.54993505859375,194.05941837638525,1.9895619345310642,12.001216685666906,46.84133469746365,149.46941822379736,171.3555865720959,18.567191415362625,6.560198381537624,16.8624649757749,5.645991325378418
1728471369250940400,4.4999404296875,194.10052290392431,1.4227270331597714,8.267430536264916,46.84129861933723,149.51052275133642,172.72747088261067,14.402280486758539,6.736334635244736,16.862439262641132,5.645991325378418
1728471370200944400,5.4499443359375,194.1275013854921,1.6118522709864895,7.5794149555508765,46.841249121871805,149.53750123290422,170.67993318260693,11.851735496479705,6.629530538495172,16.862428310107514,6.221712589263916
1728471371150949600,6.39994970703125,194.14523946375,1.5481463064527279,5.4301473960853395,46.841164746113535,149.5552393111621,170.3016514509924,10.039358110127427,6.598843679496584,16.86242927561465,7.629990577697754
1728471372100953600,7.34995361328125,194.15723244495186,1.2561071955248246,3.9166346623863393,46.84107749942866,149.56723229236397,171.37065869832193,8.703842585068822,6.586613689732106,16.862437670585454,10.443632125854492
1728471373052071200,8.3010712890625,194.187453828247,1.0763936042488214,3.546626787239355,46.84099120399224,149.5974536756591,171.28101655286318,7.812856573345968,6.58601148212169,16.862455282650863,10.477873802185059
1728471374001889800,9.250889892578124,194.18320471367184,1.133400729090654,4.4729884628545,46.84090643921359,149.59320456108395,171.526041474944,7.188956400223038,6.582829150359254,16.862470862316222,10.443632125854492
1728471375001888000,10.250887939453126,194.14061537809587,1.070650644597221,4.015366777651922,46.84080930540853,149.55061522550798,172.4375457763672,6.944271078038986,6.827962103363784,16.862481989924166,10.320499420166016
1728471376002204000,11.251203857421874,194.10668900263994,1.1346195422147476,3.49652727143091,46.84070647671497,149.51668885005205,172.4375457763672,6.434528265187938,6.653246357983644,16.862496023854373,10.320499420166016
1728471377001515300,12.250515380859374,194.07074479447257,1.0280379828551542,3.558971563720594,46.84059960005854,149.48074464188468,172.55328369140625,6.198062832389423,6.674610083799258,16.862510880123665,11.618067741394043
1728471378001510100,13.25051025390625,194.0633943988067,1.1531588484442,3.7635450051483046,46.84049317751989,149.47339424621882,172.55328369140625,6.121850532363952,6.676962676144604,16.862527871735995,12.17069149017334
1728471379001684200,14.250684326171875,194.04334445179344,1.1280085630910262,3.4791469736208924,46.84037400023232,149.45334429920555,172.55328369140625,6.033824205631801,6.682532146210355,16.862549887736524,12.17069149017334
1728471380001809000,15.250808837890625,194.04335613455623,1.128008563736384,3.4791469736208858,46.840265379534,149.45335598196834,172.55328369140625,6.033824205639805,6.682532146203128,16.862569967555597,12.17069149015112
1728471381001808600,16.25080859375,194.04225671757013,1.0082798141435412,3.1112261568896864,46.840137779238965,149.45225656498224,172.55328369140625,9.533040764654501,10.918593848386818,16.862594186133915,12.930776596042696
1728471382001373400,17.25037353515625,194.09524255339056,1.0466460112090215,3.2299257938001236,46.8400166397173,149.50524240080267,171.44337463378906,9.149776730520465,10.633140246368388,16.862623060641653,13.058104515048273
1728471383001370000,18.2503701171875,194.21178189385682,0.9702753384692943,3.1699075065775797,46.83990050119406,149.62178174126893,171.44337463378906,5.776187648832138,6.744765421753508,16.86264723731453,13.058104515048248
1728471384001376500,19.25037646484375,194.22965988423675,0.9417348019039611,3.134721689044056,46.83978701308577,149.63965973164886,171.61544799804688,5.653579435815641,6.690214112858438,16.86266880849783,12.678716659520784
1728471385001377500,20.25037744140625,194.36473532859236,0.98202603223881,3.026884222659085,46.83967958134873,149.77473517600447,171.61544799804688,5.547970955508452,6.669525355302481,16.862690705346154,12.390075683570311
1728471386001374700,21.250374755859376,194.3369327466935,0.8952279855563505,3.3583022898088686,46.83958430147385,149.7469325941056,173.22597585003476,5.469978038147034,6.667199368189678,16.862710081866325,11.389487266522321
1728471387001382400,22.25038232421875,194.31990346871316,1.121371109151819,4.010653685195891,46.83950536856842,149.72990331612527,171.64425952919365,5.549903676529448,6.790679380542315,16.862732754159143,9.597245216358738
1728471387999388200,23.24838818359375,194.2289801267907,1.5920689792467178,6.4596422232337005,46.839419513665035,149.6389799742028,166.3714319744657,5.601277940370457,7.069168813311624,16.862772085056427,9.59724521635878
1728471388999396600,24.248396728515626,193.81484550610185,0.6777661031522247,2.6688214527143534,46.83935665230864,149.22484535351396,159.92732644381405,5.28849059434876,6.812911527024194,16.86281939829479,8.83524894713506
1728471389999402000,25.248402099609375,193.56955767795444,1.2905047329624273,7.290610560045847,46.83931657859502,148.97955752536654,143.79666993218277,5.332354254307736,6.956541048198732,16.86288501930254,7.877773284906097
1728471390999408600,26.24840869140625,193.55012804176658,1.7320793722968086,9.173326024837515,46.83929698714249,148.9601278891787,121.77168661611958,5.247685801168024,6.862351074895739,16.86297515252386,7.385006904597109
1728471391999416300,27.248416259765627,193.61217388045043,1.9041067267849194,12.25870414941041,46.83929961639833,149.02217372786254,80.8455581665039,5.444211118162669,6.914443040447268,16.863087520487085,7.778086662286716
